jobname = asp_decarb_n7_idpp_08
combo   = (0, 0, 0, 0, 0, 0, 0, 0, 0)
images  = 7+2

====================================================================================================
image 1/9
group_index = 0
combo_index = 0
gid         = 0
relax_tag   = 0R
file_step   = 0
k_in_file   = 0
select_rank = 0
energy      = -1.2022750750120730

geometry_bohr:
-8.7072948439 -11.3891960497  5.8350471947
-8.6430564830 -8.8534831747  4.4128019954
-6.5329133219 -7.0825807293  5.3514240594
-6.4366408372 -4.6853327078  3.7841686488
-5.8478878838  9.5466563864  0.5746203611
-6.1286716736  6.8479002484 -0.3450461000
-6.5945671951  6.3249944308 -2.8975448498
-5.8476488626  4.7973553645  1.3013130813
-6.8002876510  3.8582059829 -3.7927928212
-6.0210268415  2.3079393298  0.4549025623
-6.5215778549  1.8515718094 -2.0951133035
-6.7397414200 -0.5340243690 -3.0318575572
-14.2941718656  4.9253009130  1.3029850602
-15.1079761800  5.2689213080 -0.8134209991
-13.2886403529  2.6823789478  2.1388186884
-12.8406452754  0.5684477046  0.4250112188
-10.9784543153 -1.3229640950  1.6093498288
-10.6161691278 -1.3199601287  3.9398414034
-9.9138003715 -2.8344766908  0.1549082531
 5.6620860785 -0.0235635619 -6.0394893181
 6.1415796694  1.7186341008 -8.1488694357
 16.0645504471  0.0493048443  11.2715889443
 15.1851259562 -1.1456963191  8.9349466891
 12.6480982755 -0.9881540173  8.2396986882
 10.9537483597  0.3525403011  9.5539598959
 11.9559790325 -2.2481837454  6.0974218180
 6.4127270224 -9.5430167739 -5.1173745660
 6.0841994961 -7.7999467206 -7.3375453783
 6.4820816094 -5.5248880586 -7.3363885554
 4.0067625587 -11.0756257456 -4.4710513600
 1.7113698166 -9.5659725054 -3.7061344896
 0.4623621607 -7.9627212074 -5.3948491166
 0.7228341945 -9.8214723904 -1.2641804384
-1.6217711582 -6.5440471540 -4.6562913205
-1.3816861412 -8.4512785788 -0.4802809103
-2.5271807423 -6.7794318082 -2.1814640631
-4.5942041304 -5.5133525394 -1.3904946690
 5.4003113530 -9.0131594686 -9.5325108249
 4.6018402717 -7.5883407623 -11.7583540481
 7.7625697316  9.6204199559 -5.1146306837
 5.5764720089  10.3336202880 -3.4286480075
 4.7253094165  12.4693182616 -3.2955391545
 4.5853416296  8.3720959102 -1.9985499768
 2.0935538742  8.5362425043 -0.7876095029
 2.2208138269  7.2784181439  1.7868879877
 3.0989737272  5.1627614877  2.1642661122
 0.0625403838  7.1724723568 -2.3438750073
-0.4662340786  8.5696004694 -4.7746008592
-1.9364149474  10.3340906628 -4.9580331299
 0.7848584367  7.6698803058 -6.8881018825
 1.2003244170  8.7033565145  3.6763884363
 0.9400763860  7.6547721945  6.2104866428
 4.7746833168 -3.5847223952 -1.8063739549
 4.3789852119 -0.8328220691 -1.6290471323
 4.9526599764  0.9522515196 -3.7881532535
 4.7685462331  3.2343760453 -3.5079413075
